START
t[ms],		ax,	ay,	az,	gx,	gy,	gz,	mx,	my,	mz,	pres[hPa],	delta_p
399139664,	34,	-4132,	82,	10,	-21,	96,	128,	88,	211,	97531.62,	1669
399151996,	31,	-4126,	76,	-6,	-40,	96,	127,	86,	209,	97525.11,	1669
399207144,	9,	-4120,	-63,	-32,	-9,	79,	126,	87,	211,	97535.98,	1669
399221052,	14,	-4162,	9,	-17,	-9,	76,	129,	89,	211,	97535.47,	1671
399233256,	12,	-4128,	29,	-1,	-13,	64,	127,	87,	213,	97535.47,	1671
399245548,	13,	-4151,	21,	9,	-18,	47,	126,	88,	211,	97535.47,	1671
399259440,	-7,	-4115,	-26,	8,	-17,	26,	127,	87,	211,	97535.52,	1671
399271756,	3,	-4116,	-16,	6,	-6,	5,	130,	88,	212,	97535.52,	1671
399283988,	-42,	-4109,	9,	-6,	-6,	-21,	128,	89,	210,	97537.06,	1669
399297840,	-48,	-4182,	-54,	-4,	-7,	-37,	127,	89,	210,	97534.02,	1669
399353196,	29,	-4114,	-121,	-34,	7,	-36,	128,	90,	210,	97531.28,	1669
399365632,	21,	-4128,	-58,	-31,	-1,	-40,	127,	89,	212,	97530.82,	1666
399379572,	7,	-4124,	-38,	-17,	16,	-44,	127,	88,	210,	97530.82,	1666
399391888,	-8,	-4098,	10,	9,	0,	-39,	130,	89,	211,	97536.32,	1669
399404148,	47,	-4088,	5,	33,	-14,	-28,	128,	89,	211,	97536.32,	1666
399417956,	22,	-4085,	-12,	31,	-16,	-16,	129,	89,	210,	97536.32,	1666
399430220,	-23,	-4090,	-33,	19,	-16,	-4,	129,	88,	211,	97533.22,	1669
399576908,	-33,	-4104,	-105,	3,	-76,	21,	127,	90,	210,	97529.63,	1669
399590748,	-49,	-4094,	-109,	11,	-70,	22,	127,	88,	210,	97529.63,	1669
399603064,	-54,	-4112,	-76,	11,	-61,	12,	125,	89,	210,	97535.12,	1669
399615472,	-19,	-4116,	-60,	11,	-49,	12,	129,	89,	210,	97535.12,	1669
399629304,	11,	-4132,	-8,	15,	-31,	21,	128,	88,	211,	97535.12,	1666
399641508,	-1,	-4105,	0,	6,	-28,	32,	128,	88,	209,	97532.95,	1669
399653880,	-56,	-4069,	-32,	1,	-36,	48,	128,	89,	211,	97532.95,	1666
399709104,	65,	-4159,	-101,	-8,	-49,	60,	129,	87,	210,	97535.81,	1666
399721468,	77,	-4126,	-63,	6,	-48,	66,	129,	88,	210,	97535.81,	1669
399733780,	51,	-4089,	-8,	23,	-63,	63,	129,	88,	210,	97535.81,	1669
399747604,	-4,	-4077,	3,	34,	-69,	62,	129,	87,	209,	97523.72,	1666
399759896,	-54,	-4100,	-10,	33,	-76,	66,	127,	89,	211,	97523.72,	1669
399772212,	-86,	-4095,	-55,	28,	-75,	69,	127,	86,	211,	97523.72,	1666
399786056,	-106,	-4111,	-92,	15,	-75,	66,	127,	89,	209,	97535.38,	1666
399798372,	-45,	-4127,	-153,	14,	-52,	60,	127,	89,	212,	97535.38,	1671
399852392,	-43,	-4157,	-25,	49,	-15,	27,	128,	88,	211,	97530.91,	1669
399866312,	-91,	-4113,	-30,	36,	-10,	18,	128,	87,	210,	97530.91,	1669
399878612,	-72,	-4105,	-22,	8,	-6,	10,	127,	88,	210,	97530.91,	1671
399890960,	-36,	-4115,	-34,	-2,	-15,	0,	127,	87,	210,	97531.57,	1669
399904836,	3,	-4174,	9,	1,	-6,	-12,	129,	88,	211,	97531.57,	1666
399917064,	9,	-4160,	30,	7,	4,	-20,	128,	87,	209,	97531.57,	1666
399929404,	-16,	-4099,	59,	9,	16,	-25,	129,	86,	211,	97528.42,	1669
399985556,	16,	-4056,	-19,	-32,	89,	-33,	127,	88,	211,	97527.67,	1669
399997800,	46,	-4115,	-33,	-48,	51,	-43,	128,	85,	209,	97529.54,	1669
400010160,	54,	-4165,	-96,	-62,	26,	-69,	128,	87,	212,	97529.54,	1666
400024036,	19,	-4126,	-109,	-77,	43,	-87,	128,	89,	213,	97531.32,	1666
400036560,	64,	-4185,	-93,	-77,	72,	-108,	127,	89,	212,	97531.32,	1669
400049088,	54,	-4110,	-55,	-44,	89,	-116,	129,	87,	210,	97531.32,	1669
400063152,	17,	-4113,	-62,	-8,	98,	-103,	128,	90,	211,	97532.52,	1669
400118376,	48,	-4080,	-159,	-14,	45,	36,	128,	89,	211,	97534.23,	1669
400130728,	76,	-4109,	-112,	-7,	71,	44,	126,	88,	211,	97536.13,	1669
400144672,	77,	-4107,	-152,	-3,	79,	26,	128,	88,	210,	97536.13,	1669
400156904,	82,	-4138,	-101,	-4,	54,	15,	128,	88,	210,	97536.13,	1669
400169224,	127,	-4143,	-71,	1,	17,	9,	126,	89,	211,	97537.50,	1669
400183196,	126,	-4139,	-44,	0,	14,	8,	129,	88,	211,	97537.50,	1666
400195456,	82,	-4117,	-7,	-2,	18,	7,	127,	88,	210,	97537.50,	1669
400207716,	9,	-4113,	-20,	-3,	19,	-5,	129,	89,	211,	97527.89,	1669
400264104,	31,	-4110,	-166,	7,	2,	21,	127,	87,	211,	97526.64,	1669
400276312,	21,	-4109,	-144,	10,	-2,	16,	128,	88,	210,	97535.53,	1669
400288640,	14,	-4112,	-105,	14,	-15,	15,	131,	87,	210,	97535.53,	1669
400302504,	9,	-4103,	-62,	17,	-7,	14,	128,	86,	210,	97535.53,	1669
400314800,	18,	-4103,	-38,	13,	-1,	17,	127,	88,	209,	97525.50,	1669
400327196,	33,	-4097,	-14,	17,	-4,	30,	127,	88,	211,	97525.50,	1669
400341100,	57,	-4111,	-32,	25,	-4,	44,	128,	90,	211,	97529.70,	1669
400396704,	106,	-4096,	-18,	33,	60,	49,	127,	88,	211,	97522.71,	1669
400408996,	49,	-4124,	-20,	30,	46,	50,	128,	89,	209,	97534.00,	1669
400422812,	-6,	-4159,	-73,	21,	20,	46,	127,	89,	212,	97534.00,	1669
400435040,	-60,	-4133,	-128,	12,	1,	42,	129,	87,	211,	97534.00,	1669
400447424,	-73,	-4137,	-54,	13,	-25,	40,	129,	89,	211,	97525.13,	1669
400461356,	-70,	-4134,	-32,	20,	-31,	34,	127,	88,	210,	97525.13,	1669
400473576,	-44,	-4137,	-24,	14,	-20,	32,	130,	88,	212,	97525.13,	1669
400525272,	47,	-4119,	-75,	0,	15,	-17,	129,	89,	210,	97534.84,	1666
400539116,	35,	-4111,	-107,	-4,	13,	-18,	126,	87,	209,	97534.84,	1669
400551440,	56,	-4097,	-33,	-3,	3,	-13,	129,	89,	212,	97528.34,	1666
400563740,	19,	-4109,	-36,	-4,	-13,	7,	128,	90,	209,	97528.34,	1666
400577636,	-17,	-4089,	-37,	0,	-24,	25,	129,	87,	212,	97528.34,	1666
400589832,	-53,	-4073,	-24,	0,	-27,	32,	127,	89,	211,	97520.57,	1669
400602108,	-21,	-4085,	-50,	3,	-32,	24,	128,	88,	211,	97520.57,	1669
400615924,	28,	-4092,	-64,	2,	-28,	27,	128,	88,	211,	97520.57,	1669
400720408,	-56,	-4090,	-82,	0,	-55,	22,	128,	90,	211,	97527.30,	1669
400732680,	-9,	-4109,	-36,	-3,	-74,	26,	129,	89,	211,	97533.47,	1669
400746600,	17,	-4143,	-77,	-7,	-65,	24,	129,	89,	212,	97533.47,	1666
400759008,	-57,	-4103,	-63,	-8,	-41,	16,	129,	88,	209,	97533.47,	1666
400771408,	-96,	-4089,	-81,	1,	-6,	5,	127,	88,	212,	97531.84,	1669
400785276,	-71,	-4108,	-86,	-1,	12,	2,	126,	89,	211,	97531.84,	1669
400797632,	-27,	-4094,	-87,	-1,	13,	3,	128,	88,	210,	97530.03,	1669
400851596,	41,	-4135,	-130,	8,	-35,	13,	127,	86,	209,	97520.91,	1669
400865524,	-3,	-4102,	-123,	9,	-42,	10,	126,	86,	211,	97520.73,	1666
400877840,	-38,	-4113,	-81,	9,	-39,	4,	129,	87,	208,	97531.34,	1669
400890192,	-42,	-4093,	-70,	11,	-23,	2,	126,	87,	212,	97531.34,	1669
400904160,	-57,	-4094,	-45,	19,	0,	6,	128,	88,	210,	97529.86,	1669
400916424,	-31,	-4070,	-36,	33,	8,	11,	128,	88,	210,	97529.86,	1666
400928700,	-43,	-4051,	-47,	42,	17,	19,	130,	90,	211,	97529.86,	1666
400985692,	71,	-4112,	-137,	9,	-5,	-3,	128,	88,	208,	97531.57,	1669
400998004,	68,	-4108,	-91,	11,	1,	-8,	128,	87,	210,	97531.57,	1669
401010368,	36,	-4072,	-59,	13,	9,	-13,	127,	89,	212,	97538.36,	1666
401024188,	27,	-4114,	-13,	22,	5,	-6,	127,	91,	212,	97538.36,	1666
401036392,	8,	-4097,	-1,	28,	-7,	-5,	128,	88,	209,	97538.36,	1669
401048640,	2,	-4115,	3,	25,	-9,	14,	127,	89,	209,	97532.17,	1669
401062488,	6,	-4127,	-37,	18,	-13,	29,	128,	88,	210,	97532.17,	1669
401074808,	26,	-4131,	-30,	12,	-7,	36,	127,	88,	211,	97532.17,	1666
401130992,	-17,	-4108,	-133,	-3,	-10,	10,	127,	89,	211,	97535.41,	1666
401144892,	-27,	-4061,	-153,	-2,	-8,	7,	128,	89,	210,	97535.41,	1666
401157064,	-13,	-4083,	-115,	6,	-12,	5,	126,	88,	213,	97530.55,	1666
401169528,	39,	-4088,	-48,	24,	-17,	9,	128,	87,	210,	97530.55,	1669
401183444,	43,	-4109,	-72,	37,	-21,	26,	127,	88,	211,	97530.77,	1669
401195788,	12,	-4089,	-24,	34,	-29,	44,	130,	88,	213,	97530.77,	1666
401208208,	-31,	-4048,	-16,	28,	-37,	49,	128,	88,	212,	97530.77,	1666
401250372,	-18,	-4169,	-63,	11,	-6,	62,	129,	89,	212,	97522.31,	1671
401262556,	-5,	-4136,	-99,	15,	-3,	66,	128,	91,	210,	97530.66,	1671
401274936,	22,	-4153,	-61,	24,	-5,	60,	127,	88,	211,	97530.66,	1671
401288848,	4,	-4150,	-52,	29,	-11,	46,	127,	90,	212,	97532.84,	1671
401301152,	-21,	-4151,	-34,	29,	-9,	37,	128,	88,	211,	97532.84,	1671
401313548,	-26,	-4114,	24,	20,	-8,	22,	129,	87,	211,	97532.84,	1666
401327432,	-1,	-4036,	6,	-12,	14,	10,	127,	90,	209,	97518.83,	1669
401339636,	-30,	-4264,	11,	-47,	11,	-4,	129,	87,	210,	97518.83,	1669
401397552,	-92,	-4095,	-105,	4,	18,	-36,	129,	89,	211,	97527.63,	1669
401411484,	-52,	-4116,	-60,	-17,	14,	-25,	126,	87,	210,	97527.63,	1669
401423872,	15,	-4110,	-44,	-28,	10,	-17,	127,	89,	212,	97527.63,	1666
401436212,	36,	-4119,	-51,	-7,	10,	-10,	127,	87,	210,	97531.47,	1666
401450148,	18,	-4067,	-76,	13,	5,	-10,	128,	89,	209,	97531.47,	1669
401462448,	29,	-4101,	-90,	18,	-2,	-1,	127,	88,	209,	97532.16,	1669
401474836,	6,	-4091,	-131,	17,	-6,	9,	129,	89,	212,	97533.67,	1666
401530392,	49,	-4096,	-80,	27,	-4,	9,	128,	90,	210,	97530.14,	1669
401542672,	57,	-4070,	-65,	25,	-3,	8,	129,	87,	209,	97526.08,	1666
401554944,	29,	-4127,	-54,	9,	1,	13,	127,	89,	211,	97526.08,	1669
401568708,	-23,	-4121,	-55,	-6,	7,	4,	128,	90,	212,	97530.26,	1669
401580932,	-61,	-4120,	-14,	-12,	5,	1,	128,	88,	211,	97530.26,	1669
401593284,	-32,	-4164,	-5,	3,	-3,	-3,	127,	88,	212,	97530.26,	1669
401607128,	-7,	-4114,	-15,	22,	2,	-12,	128,	87,	209,	97527.84,	1669
401660964,	55,	-4200,	-51,	-18,	10,	6,	128,	89,	210,	97533.30,	1666
401673452,	52,	-4143,	-67,	-7,	-4,	-5,	128,	89,	211,	97537.27,	1666
401687256,	33,	-4128,	-72,	6,	-5,	-2,	129,	90,	212,	97537.27,	1669
401699464,	-38,	-4101,	-85,	10,	-7,	0,	128,	87,	213,	97537.27,	1669
401711740,	-63,	-4090,	-65,	10,	-6,	1,	127,	89,	210,	97526.30,	1669
401725512,	-46,	-4095,	-27,	3,	-4,	10,	127,	88,	212,	97526.30,	1669
401737680,	-39,	-4114,	-14,	5,	1,	6,	125,	89,	213,	97526.30,	1666
401750008,	-19,	-4133,	-3,	9,	4,	7,	131,	87,	211,	97535.16,	1669
401892220,	19,	-4122,	-59,	3,	5,	4,	128,	90,	213,	97531.00,	1666
401904568,	-11,	-4110,	-71,	4,	10,	5,	127,	89,	211,	97531.00,	1669
401916896,	-5,	-4106,	-108,	8,	10,	5,	127,	88,	210,	97529.45,	1666
401930708,	12,	-4092,	-118,	6,	5,	2,	128,	90,	211,	97527.97,	1666
401942964,	39,	-4114,	-94,	8,	2,	-2,	127,	87,	209,	97527.97,	1669
401955212,	83,	-4108,	-72,	7,	3,	-2,	127,	87,	210,	97527.45,	1669
401968960,	48,	-4114,	-97,	6,	2,	0,	127,	88,	210,	97527.45,	1669
401981120,	37,	-4103,	-106,	8,	2,	-1,	129,	89,	210,	97527.45,	1666
402037416,	12,	-4106,	-86,	8,	-1,	0,	128,	89,	212,	97529.45,	1671
402051184,	45,	-4102,	-80,	12,	3,	2,	127,	87,	210,	97529.45,	1671
402063340,	78,	-4119,	-107,	8,	15,	0,	127,	90,	210,	97530.75,	1671
402075716,	88,	-4118,	-75,	10,	14,	6,	129,	86,	211,	97530.75,	1669
402089608,	58,	-4134,	-65,	9,	24,	1,	128,	89,	211,	97530.75,	1671
402101904,	54,	-4133,	-61,	5,	30,	-5,	130,	90,	211,	97534.70,	1669
402114180,	49,	-4115,	-40,	4,	32,	-6,	128,	88,	209,	97534.70,	1669
402171184,	93,	-4117,	-139,	5,	33,	-5,	128,	88,	210,	97534.84,	1666
402183388,	98,	-4144,	-118,	5,	61,	-8,	127,	90,	211,	97534.84,	1669
402195700,	1,	-4218,	-116,	21,	145,	-20,	128,	88,	210,	97534.84,	1666
402209576,	7,	-4225,	-138,	28,	225,	-13,	127,	89,	211,	97528.89,	1669
402221852,	-83,	-4189,	-64,	23,	396,	-5,	129,	89,	210,	97528.89,	1666
402234196,	120,	-4239,	-22,	13,	449,	-7,	128,	88,	210,	97530.23,	1669
402248124,	92,	-4231,	-80,	18,	339,	4,	128,	88,	210,	97530.23,	1669
402304928,	87,	-4241,	-16,	8,	489,	46,	128,	89,	208,	97522.24,	1669
402317244,	38,	-4096,	82,	-25,	570,	48,	129,	88,	211,	97526.03,	1669
402331084,	-44,	-4022,	5,	-45,	616,	60,	128,	88,	211,	97526.03,	1669
402343288,	16,	-3944,	8,	-64,	603,	67,	130,	89,	210,	97534.50,	1669
402355600,	44,	-3877,	-21,	-64,	505,	63,	128,	90,	211,	97534.50,	1669
402369456,	7,	-4023,	9,	-42,	494,	72,	129,	86,	210,	97534.50,	1669
402381660,	-4,	-3949,	-3,	-7,	444,	81,	130,	89,	209,	97522.50,	1669
402393964,	-35,	-4058,	-66,	17,	557,	84,	128,	88,	211,	97522.50,	1669
402448068,	21,	-4093,	81,	-6,	630,	111,	129,	88,	208,	97536.68,	1669
402460320,	-58,	-4181,	37,	6,	499,	128,	131,	88,	208,	97536.68,	1669
402472628,	-79,	-4088,	-97,	23,	469,	139,	130,	89,	207,	97536.68,	1669
402486564,	33,	-4047,	-128,	20,	482,	141,	129,	87,	208,	97526.90,	1666
402498936,	75,	-3971,	-178,	18,	500,	138,	130,	88,	209,	97526.90,	1666
402511496,	12,	-4227,	-112,	23,	558,	133,	132,	89,	207,	97526.90,	1669
402525668,	-82,	-4060,	-208,	48,	458,	91,	131,	86,	208,	97528.71,	1666
402540460,	-268,	-4026,	-73,	51,	550,	73,	131,	89,	206,	97528.71,	1669
402552892,	41,	-4088,	-37,	46,	565,	66,	131,	88,	208,	97530.13,	1669
402566844,	-235,	-4247,	13,	41,	614,	86,	132,	86,	208,	97530.13,	1666
402579176,	218,	-3078,	136,	41,	683,	41,	133,	88,	207,	97530.13,	1669
402591612,	-135,	-4199,	-307,	11,	747,	104,	133,	87,	207,	97525.97,	1669
402605756,	123,	-3122,	64,	45,	772,	65,	132,	89,	205,	97525.97,	1669
402617992,	-1597,	-4322,	-916,	18,	1020,	93,	131,	89,	209,	97525.97,	1666
402672552,	-313,	-2937,	-45,	-125,	1140,	176,	133,	86,	207,	97526.10,	1673
402686876,	-199,	-3092,	479,	-124,	1215,	210,	136,	87,	205,	97526.10,	1673
402699596,	-98,	-3841,	-8,	-233,	1163,	218,	136,	88,	204,	97497.78,	1673
402712212,	216,	-3268,	352,	-344,	1051,	166,	137,	87,	203,	97497.78,	1675
402726464,	68,	-4465,	130,	-249,	1128,	40,	135,	88,	205,	97491.61,	1673
402738932,	-116,	-5995,	-1559,	-247,	991,	68,	135,	87,	201,	97491.61,	1677
402751740,	343,	-5111,	-2917,	-265,	621,	186,	135,	88,	202,	97491.61,	1669
402807836,	2198,	-6420,	1050,	254,	-827,	-388,	134,	86,	199,	97522.77,	1671
402820652,	-752,	-5150,	263,	127,	-696,	-460,	136,	86,	201,	97522.77,	1671
402833460,	198,	-4341,	-711,	110,	-148,	-598,	136,	88,	201,	97524.21,	1671
402847788,	54,	-4369,	-234,	104,	-181,	-670,	134,	88,	201,	97524.21,	1669
402860412,	-518,	-3890,	504,	233,	-331,	-596,	132,	86,	200,	97524.21,	1669
402873220,	-1038,	-3655,	80,	297,	-429,	-391,	134,	89,	202,	97527.05,	1669
402887552,	-951,	-3424,	963,	334,	-490,	-230,	132,	88,	202,	97527.05,	1669
403033884,	151,	-4070,	583,	281,	-124,	558,	134,	88,	202,	97532.81,	1666
403046608,	-129,	-4151,	677,	338,	-44,	433,	136,	88,	205,	97532.28,	1669
403060852,	-97,	-4306,	-65,	315,	6,	296,	135,	85,	205,	97532.28,	1666
403073188,	-307,	-4357,	-161,	171,	79,	153,	138,	88,	204,	97532.28,	1669
403085892,	-173,	-4168,	441,	53,	-19,	38,	136,	85,	206,	97532.47,	1669
403099932,	-210,	-4122,	488,	-16,	-113,	-11,	136,	87,	204,	97532.47,	1666
403112624,	-217,	-3973,	71,	-137,	-191,	-40,	137,	85,	205,	97532.72,	1666
403154744,	-27,	-4245,	-182,	-159,	5,	-31,	136,	88,	205,	97530.31,	1666
403168848,	-109,	-4195,	36,	-162,	156,	-67,	135,	86,	205,	97530.31,	1669
403181476,	-193,	-4179,	100,	-132,	155,	-83,	137,	87,	203,	97530.31,	1666
403194280,	-63,	-4176,	-226,	-83,	32,	-118,	138,	84,	204,	97536.94,	1666
403208400,	-58,	-4068,	-166,	-81,	26,	-157,	135,	86,	204,	97536.94,	1669
403220916,	-185,	-4069,	47,	-65,	47,	-171,	136,	89,	201,	97531.09,	1666
403233512,	-14,	-4049,	429,	-16,	-31,	-97,	133,	85,	201,	97531.09,	1669
403293396,	-5,	-4070,	13,	-48,	-96,	80,	136,	87,	203,	97529.09,	1666
403305640,	128,	-4077,	-44,	-50,	-148,	95,	133,	87,	205,	97529.09,	1669
403318248,	167,	-4100,	32,	-63,	-150,	63,	133,	86,	203,	97529.09,	1669
403332196,	142,	-4104,	96,	-75,	-118,	40,	134,	87,	205,	97532.13,	1669
403344692,	52,	-4116,	45,	-64,	-106,	30,	135,	88,	202,	97532.13,	1669
403357212,	10,	-4171,	-50,	-31,	-85,	13,	134,	86,	204,	97534.70,	1669
403371172,	-38,	-4180,	29,	-2,	-50,	0,	134,	86,	203,	97534.70,	1669
403425212,	-80,	-4109,	198,	27,	-34,	126,	133,	87,	203,	97529.37,	1669
403437836,	-108,	-4131,	168,	6,	-31,	126,	136,	87,	204,	97527.40,	1666
403451876,	-138,	-4129,	28,	-17,	-53,	96,	135,	86,	204,	97527.40,	1669
403464204,	-123,	-4127,	-40,	-53,	-46,	51,	134,	87,	203,	97529.03,	1669
403476692,	-80,	-4112,	43,	-78,	-38,	7,	135,	86,	203,	97529.03,	1669
403490508,	-22,	-4092,	43,	-91,	-41,	-6,	136,	86,	204,	97529.03,	1669
403502736,	-60,	-4110,	-42,	-94,	-51,	0,	134,	86,	203,	97532.47,	1669
403556728,	-164,	-4275,	574,	65,	-171,	72,	134,	87,	204,	97532.56,	1669
403570856,	-94,	-4060,	-52,	67,	-213,	50,	134,	88,	203,	97530.66,	1669
403583272,	-93,	-4168,	93,	59,	-190,	-1,	135,	87,	201,	97530.66,	1666
